cost,total_square,live_square,rooms_num,floor,rep_type,total_floors,metro,m_distance,adr,date_time,builder,desc,house_type,page_num,dist_cent,build_age,district,lat,lon
2 700 000,100 м²,80 м²,3,1 из 3,чистовая,,,,"Республика Северная Осетия — Алания, Владикавказ",3 августа 21:49 2020,,"дом в общем дворе новая постройка капитальный ремонт ... магазины остановки рядом в шаговой доступности продам или обменяю на две однушки.... , на двушку с доплатой..... рассмотрю все вариант ы. торг уместен..",блочный,11,,,р-н Иристонский,43.02115,44.68196
1 800 000,38 м²,17 м²,1,2 из 9,,,,,"Республика Северная Осетия — Алания, Владикавказ, пр-т Коста, 298",4 августа 16:38 2020,,"Без ремонта.Лоджа 5,2м.Срочно продам.Общая площадь 38.4м.по улице Проспект Коста .Возле Архонского перекрестка.",кирпичный,11,,,р-н Северо-Западный,43.056745,44.644921999999994
2 200 000,50 м²,32 м²,2,3 из 5,,,,,"Республика Северная Осетия — Алания, Владикавказ, пр-т Коста, 292к4",2 августа 23:44 2020,,Продам 2 комнатную квартиру по проспекту Коста. 3 этаж. Ремонт.,кирпичный,11,,,р-н Северо-Западный,43.055836,44.649234
1 350 000,32 м²,,1,5 из 5,,,,,"Республика Северная Осетия — Алания, Владикавказ, ул. Тельмана, 14А",2 августа 18:21 2020,,"квартира после капитального ремонта.  поменяна проводка,все на автоматах. новое отопление и  сантехника,новая стяжка и штукатурка. крыша отремонтирована. теплая. поменяны трубы и стояки, на полу ламинат, натяжные потолки. рассмотрим любой вид оплатысмотрите видео после фото",кирпичный,11,,,р-н Промышленный,43.052127,44.671557
2 650 000,68 м²,,3,2 из 5,,,,,"Республика Северная Осетия — Алания, Владикавказ, Московская ул.",5 августа 07:21 2020,,"Бывшая 2-х комнатная, теплая квартира переделана в трёшку, расположена в середине дома, с общей площадью 68.3 кв. м. + 11 кв. м. балкон, большая столовая с пристройкой (пристройка кирпичная,с правом на разрешение) в районе 38 школы, детсад за домом, ТЦ ""Столица"", ТЦ ""Вертикаль"", м-ны ""КИТ"", ""МАГНИТ"", транспортная развязка в шаговой доступности. косметический ремонт,небольшой подвал под домом. паркет худож., гардеробная в коридоре. В подъезде капремонт, новые трубы в подвале, электрический щиток и счётчик тоже новые. Ипотеку, мат.капитал рассматриваем. Реальному покупателю скидка!",панельный,11,,,р-н Северо-Западный,43.04727800000001,44.640826000000004
800 000,27 м²,10 м²,1,2 из 2,,,,,"Республика Северная Осетия — Алания, Владикавказ, ул. Васо Абаева, 64",4 августа 14:47 2020,,В квартире свежий ремонт новая кухня.Туалет+ванна на 1 этаже собственные. Есть отдельная кладовая. Кухню и шкаф купе оставлю... по всем вопросам обращайтесь по тел...,кирпичный,11,,,р-н Иристонский,43.008137,44.686066
2 800 000,60 м²,59 м²,3,3 из 3,,,,,"Республика Северная Осетия — Алания, Владикавказ, Бородинская ул.",2 августа 10:46 2020,,все вопросы по телефону квартира в шаговой доступности СОГУкосметический ремонт вместе с квартирой прям напротив подъезда личный гараж с ямой. торг.,кирпичный,11,,,р-н Иристонский,43.029423,44.687538
3 300 000,80 м²,,3,5 из 5,,,,,"Республика Северная Осетия — Алания, Владикавказ, ул. Генерала Дзусова",30 июля 15:42 2020,,"СРОЧНО!!!! Продам квартиру улучшенной планировки. Общая площадь 80 кв.м Кирпичный дом. Этаж 5\5 Евроремонт из качественных материалов. Мебель частично остается. Большая лоджия. Инфраструктура расположения дома развитая. В шаговой доступности есть все: школы, детский сад очень хороший, ТЦ ""Чиба"", рынок ""Викалина"" и т.д. Проезжают рядом все виды городского транспорта. А самое главное, очень дружелюбные и хорошие соседи!!! ......................................................... ЗВОНИТЕ, обсудим все варианты!! Ответственная Залина К Арт 33660408",кирпичный,11,,,р-н Северо-Западный,43.051363,44.628645
2 900 000,70 м²,,3,5 из 5,,,,,"Республика Северная Осетия — Алания, Владикавказ, ул. Астана Кесаева",30 июля 22:53 2020,,Срочно!Продаю квартиру с капитальный ремонтомШикарный район МЕБЕЛЬ ПО ДОГОВОРЕННОСТИИмеется большой подвал.,кирпичный,11,,,р-н Северо-Западный,43.04642800000001,44.631043
1 789 000,44 м²,,1,3 из 5,,,,,"Республика Северная Осетия — Алания, Владикавказ, ул. Билара Кабалоева, 10",26 июля 14:10 2020,,"Новострой, ремонт, отопление индивид, дом частично заселён, застройщик ДЗЕБИСОВ, РЯДОМ ВИКАЛИНО, ДЕЛИКАТ.. все формы оплаты.",кирпичный,11,,,р-н Северо-Западный,43.06002,44.630306
2 450 000,63 м²,48 м²,3,3 из 10,,,,,"Республика Северная Осетия — Алания, Владикавказ, пр-т Доватора, 23",31 июля 01:00 2020,,"Продаю квартиру с мебелью,без ремонта.Рядом школа,детский сад,первомайский рынок и Стэйтон.",кирпичный,11,,,р-н Затеречный,43.020599,44.657567
1 470 000,37 м²,18 м²,1,8 из 9,,,,,"Республика Северная Осетия — Алания, Владикавказ, Весенняя ул., 38",31 июля 13:59 2020,,продам квартиру от собственника оставляем всю мебель торг только за нальчку наличку,панельный,11,,,р-н Северо-Западный,43.04629,44.624926
4 000 000,100 м²,,4,8 из 9,,,,,"Республика Северная Осетия — Алания, Владикавказ, ул. Астана Кесаева, 41к3",4 августа 15:18 2020,,"Продам четырехкомнатную квартиру с ремонтом Все комнаты раздельные, санузел раздельный  Два балкона Кладовка в подъезде на площадке Большая прихожая Хороший вид из окна Звоните! Шорена!",панельный,11,,,р-н Северо-Западный,43.038423,44.622779
975 000,32 м²,,1,4 из 5,,,,,"Республика Северная Осетия — Алания, Владикавказ, ул. Генерала Дзусова, 7к1",29 июля 12:38 2020,,"1,5   Комнатная Квартира , комната + гардеробная , 2 балкона, все удобства внутри , косметический ремонт , тёплый сухой дом, срочная продажа",кирпичный,11,,,р-н Северо-Западный,43.052334,44.631432000000004
2 299 000,48 м²,,3,1 из 5,,,,,"Республика Северная Осетия — Алания, Владикавказ, ул. Леонова, 1к1",3 августа 09:46 2020,,"Продаю малогабаритную 3-х комн. кв. на 1-м этаже 5-и эт. кирпичного дома после ремонта ( в данный момент без жильцов и без мебели). Окна выходят во двор и на улицу. Соседи очень дружные и доброжелательные. Двор густо озеленен. Район с очень высокоразвитой инфраструктурой: д/сады, школы, маркеты и магазины различного направления, ПФ, отд.МВД , Дворец творчества ""Электрон"", поликлиники, отделение Сбербанка , Налоговая инспекция и прочее, а так же удобная транспортная развязка. Идеальна для сдачи в наем. В отдельном случае возможен обмен.",панельный,11,,,р-н Северо-Западный,43.052681,44.65519000000001
3 200 000,55 м²,,1,3 из 5,чистовая,,,,"Республика Северная Осетия — Алания, Владикавказ, Московское ш., 3Б",30 июля 18:41 2020,,"Продаётся квартира с евро-ремонтом в Дзебисовской новостройке. В квартире шикарная мебель и дорогая техника, кондиционер. Окна выходят во двор.Широкие лестничные площадки. Закрытый двор. Престижный район.Развитая инфраструктура, рядом Олимпийский парк, детский сад и школы. В квартире никто не жил!Реальному покупателю реальный торг.Подробнее по телефону.Посредников прошу не беспокоить.",кирпичный,11,,,р-н Затеречный,43.022030826864004,44.647367047395
1 550 000,33 м²,,1,1 из 5,,,,,"Республика Северная Осетия — Алания, Владикавказ, Ростовская ул.",4 августа 11:24 2020,,Квартира с косметическим ремонтом!!в отличном месте возможно под коммерцию!!,кирпичный,11,,,р-н Промышленный,43.037529,44.685516
4 499 000,89 м²,,3,3 из 5,,,,,"Республика Северная Осетия — Алания, Владикавказ, ул. Бимболата Ватаева, 1",1 августа 19:57 2020,,"Продаётся квартира с ремонтом, «Центр- центральный» за гостиницей «Владикавказ»🔻дом с хорошими соседями🔻закрытый двор🔻мраморные ступеньки 🔻имеется гараж ( отдельная плата 450 тыс) , капитальныйИпотека возможна через банк Газпромбанк, небольшое обременение. Собственность, цена реальная🏛подарок - кухня в плёнке",кирпичный,11,,,р-н Затеречный,43.02710239785901,44.673495591548004
2 250 000,50 м²,,2,2 из 5,,,,,"Республика Северная Осетия — Алания, Владикавказ, ул. Генерала Дзусова",2 августа 11:56 2020,,"Продам квартиру в хорошем районе, собственное отопление,кос ремонт, окна выходят с двух сторон, рядом школа, дет сад, рынок Алан, под ипотеку не подходит. Торг",кирпичный,11,,,р-н Северо-Западный,43.051363,44.628645
